date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:02:15	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2018%20Dec%202019%2012:02:14%20GMT	http://kodeforest.net/html/bon-voyage/index.html	C:/Users/Tun_Equip/Desktop/template/kodeforest.net/html/bon-voyage/index-2.html	(from http://kodeforest.net/html/bon-voyage/)
13:02:15	2286/2286	---M--	200	added ('OK')	image/png	date:Thu,%2003%20May%202018%2014:36:14%20GMT	http://kodeforest.net/html/bon-voyage/favicon-32x32.png	C:/Users/Tun_Equip/Desktop/template/kodeforest.net/html/bon-voyage/favicon-32x32.png	(from http://kodeforest.net/html/bon-voyage/)
13:02:15	11610/11610	---M--	200	added ('OK')	image/png	date:Thu,%2003%20May%202018%2015:05:40%20GMT	http://kodeforest.net/html/bon-voyage/images/logo_v1.png	C:/Users/Tun_Equip/Desktop/template/kodeforest.net/html/bon-voyage/images/logo_v1.png	(from http://kodeforest.net/html/bon-voyage/)
13:02:15	30829/30829	---M--	200	added ('OK')	text/html	date:Thu,%2003%20May%202018%2014:36:14%20GMT	http://kodeforest.net/html/bon-voyage/destinations.html	C:/Users/Tun_Equip/Desktop/template/kodeforest.net/html/bon-voyage/destinations.html	(from http://kodeforest.net/html/bon-voyage/)
13:02:16	29437/29437	---M--	200	added ('OK')	text/html	date:Thu,%2003%20May%202018%2014:36:10%20GMT	http://kodeforest.net/html/bon-voyage/destinations-02.html	C:/Users/Tun_Equip/Desktop/template/kodeforest.net/html/bon-voyage/destinations-02.html	(from http://kodeforest.net/html/bon-voyage/)
13:02:17	36606/36606	---M--	200	added ('OK')	text/html	date:Thu,%2003%20May%202018%2014:36:11%20GMT	http://kodeforest.net/html/bon-voyage/destinations-03.html	C:/Users/Tun_Equip/Desktop/template/kodeforest.net/html/bon-voyage/destinations-03.html	(from http://kodeforest.net/html/bon-voyage/)
13:02:18	33917/33917	---M--	200	added ('OK')	text/html	date:Thu,%2003%20May%202018%2014:36:12%20GMT	http://kodeforest.net/html/bon-voyage/destinations-04.html	C:/Users/Tun_Equip/Desktop/template/kodeforest.net/html/bon-voyage/destinations-04.html	(from http://kodeforest.net/html/bon-voyage/)
13:02:19	49659/49659	---M--	200	added ('OK')	text/html	date:Thu,%2003%20May%202018%2014:36:13%20GMT	http://kodeforest.net/html/bon-voyage/destinations-detail.html	C:/Users/Tun_Equip/Desktop/template/kodeforest.net/html/bon-voyage/destinations-detail.html	(from http://kodeforest.net/html/bon-voyage/)
13:02:21	58970/58970	---M--	200	added ('OK')	text/html	date:Thu,%2003%20May%202018%2014:36:24%20GMT	http://kodeforest.net/html/bon-voyage/tour-01.html	C:/Users/Tun_Equip/Desktop/template/kodeforest.net/html/bon-voyage/tour-01.html	(from http://kodeforest.net/html/bon-voyage/)
13:02:23	55437/55437	---M--	200	added ('OK')	text/html	date:Thu,%2003%20May%202018%2014:36:25%20GMT	http://kodeforest.net/html/bon-voyage/tour-02.html	C:/Users/Tun_Equip/Desktop/template/kodeforest.net/html/bon-voyage/tour-02.html	(from http://kodeforest.net/html/bon-voyage/)
13:02:24	58772/58772	---M--	200	added ('OK')	text/html	date:Thu,%2003%20May%202018%2014:36:29%20GMT	http://kodeforest.net/html/bon-voyage/tour-sidebar.html	C:/Users/Tun_Equip/Desktop/template/kodeforest.net/html/bon-voyage/tour-sidebar.html	(from http://kodeforest.net/html/bon-voyage/)
13:02:25	58198/58198	---M--	200	added ('OK')	text/html	date:Thu,%2003%20May%202018%2014:36:27%20GMT	http://kodeforest.net/html/bon-voyage/tour-sidebar-02.html	C:/Users/Tun_Equip/Desktop/template/kodeforest.net/html/bon-voyage/tour-sidebar-02.html	(from http://kodeforest.net/html/bon-voyage/)
13:02:27	44016/44016	---M--	200	added ('OK')	text/html	date:Thu,%2003%20May%202018%2014:36:28%20GMT	http://kodeforest.net/html/bon-voyage/tour-sidebar-03.html	C:/Users/Tun_Equip/Desktop/template/kodeforest.net/html/bon-voyage/tour-sidebar-03.html	(from http://kodeforest.net/html/bon-voyage/)
13:02:28	80568/80568	---M--	200	added ('OK')	text/html	date:Thu,%2003%20May%202018%2014:36:26%20GMT	http://kodeforest.net/html/bon-voyage/tour-detail.html	C:/Users/Tun_Equip/Desktop/template/kodeforest.net/html/bon-voyage/tour-detail.html	(from http://kodeforest.net/html/bon-voyage/)
13:02:29	35249/35249	---M--	200	added ('OK')	text/html	date:Thu,%2003%20May%202018%2014:36:16%20GMT	http://kodeforest.net/html/bon-voyage/hot-deals.html	C:/Users/Tun_Equip/Desktop/template/kodeforest.net/html/bon-voyage/hot-deals.html	(from http://kodeforest.net/html/bon-voyage/)
13:02:30	44740/44740	---M--	200	added ('OK')	text/html	date:Thu,%2003%20May%202018%2014:36:00%20GMT	http://kodeforest.net/html/bon-voyage/about-us.html	C:/Users/Tun_Equip/Desktop/template/kodeforest.net/html/bon-voyage/about-us.html	(from http://kodeforest.net/html/bon-voyage/)
13:02:32	41649/41649	---M--	200	added ('OK')	text/html	date:Thu,%2003%20May%202018%2014:36:07%20GMT	http://kodeforest.net/html/bon-voyage/blog.html	C:/Users/Tun_Equip/Desktop/template/kodeforest.net/html/bon-voyage/blog.html	(from http://kodeforest.net/html/bon-voyage/)
13:02:33	40686/40686	---M--	200	added ('OK')	text/html	date:Thu,%2003%20May%202018%2014:36:06%20GMT	http://kodeforest.net/html/bon-voyage/blog-post.html	C:/Users/Tun_Equip/Desktop/template/kodeforest.net/html/bon-voyage/blog-post.html	(from http://kodeforest.net/html/bon-voyage/)
13:02:34	35710/35710	---M--	200	added ('OK')	text/html	date:Thu,%2003%20May%202018%2014:36:02%20GMT	http://kodeforest.net/html/bon-voyage/blog-post-02.html	C:/Users/Tun_Equip/Desktop/template/kodeforest.net/html/bon-voyage/blog-post-02.html	(from http://kodeforest.net/html/bon-voyage/)
